antecedents,consequents,support,confidence,lift
"['citronellol', 'linalool', 'limonene']",['geraniol'],0.05406771096513391,0.7561837455830389,6.19663615945687
"['citronellol', 'limonene']",['geraniol'],0.06316321374431531,0.7309941520467836,5.990217088615258
"['citronellol', 'glycerin', 'linalool']",['geraniol'],0.050530570995452245,0.7246376811594203,5.93812824436643
"['citronellol', 'linalool']",['geraniol'],0.06796361798888327,0.7211796246648794,5.90979079590806
"['glycerin', 'geraniol', 'linalool']",['citronellol'],0.050530570995452245,0.7547169811320755,5.845733485950597
"['glycerin', 'geraniol']",['citronellol'],0.0639211723092471,0.7507418397626113,5.814943643405901
['geraniol'],['citronellol'],0.08817584638706417,0.7225672877846792,5.596714921823406
"['peg-100 stearate', 'disodium edta']","['glycerin', 'glyceryl stearate']",0.05406771096513391,0.727891156462585,5.519144056089869
"['geraniol', 'limonene']",['citronellol'],0.06316321374431531,0.7042253521126761,5.454645682313057
"['peg-100 stearate', 'disodium edta']",['glyceryl stearate'],0.06366851945426984,0.8571428571428571,5.428114285714286
"['geraniol', 'linalool']",['citronellol'],0.06796361798888327,0.7005208333333333,5.425951973255055
"['peg-100 stearate', 'disodium edta', 'phenoxyethanol']",['glyceryl stearate'],0.05027791814047499,0.8540772532188842,5.40870042918455
['peg-100 stearate'],"['glycerin', 'glyceryl stearate']",0.07604850934815563,0.7132701421800948,5.408282035917271
"['glycerin', 'peg-100 stearate', 'disodium edta']",['glyceryl stearate'],0.05406771096513391,0.84251968503937,5.335508661417323
['peg-100 stearate'],['glyceryl stearate'],0.08893380495199596,0.8341232227488151,5.282335545023697
"['peg-100 stearate', 'phenoxyethanol']",['glyceryl stearate'],0.06619504800404244,0.8291139240506328,5.250612658227848
"['glycerin', 'peg-100 stearate']",['glyceryl stearate'],0.07604850934815563,0.8224043715846995,5.2081224043715855
"['glycerin', 'peg-100 stearate', 'phenoxyethanol']",['glyceryl stearate'],0.05507832238504295,0.8164794007490637,5.170600749063671
"['butylene glycol', 'peg-100 stearate']",['glyceryl stearate'],0.060131379484588174,0.7906976744186047,5.00733023255814
"['butylene glycol', 'glycerin', 'peg-100 stearate']",['glyceryl stearate'],0.05002526528549773,0.7674418604651162,4.860055813953489
"['hexylene glycol', 'sodium hyaluronate']","['butylene glycol', 'caprylyl glycol']",0.05103587670540677,0.8706896551724137,4.6759696813736955
['citral'],"['limonene', 'linalool']",0.057857503789792826,0.7316293929712461,4.400895345562601
"['linalool', 'citral']",['limonene'],0.057857503789792826,0.9385245901639344,4.136615064441929
['citral'],['limonene'],0.07124810510358767,0.9009584664536742,3.9710396550374636
"['glycerin', 'hexylene glycol']","['butylene glycol', 'caprylyl glycol']",0.0573521980798383,0.737012987012987,3.9580697457223915
"['geraniol', 'limonene']",['linalool'],0.07832238504295098,0.8732394366197183,3.900995135599148
"['glycerin', 'geraniol', 'limonene']",['linalool'],0.05381505811015665,0.8693877551020408,3.883788639609343
"['geraniol', 'phenoxyethanol']",['linalool'],0.051793835270338554,0.8577405857740585,3.83175760552339
"['citronellol', 'geraniol', 'limonene']",['linalool'],0.05406771096513391,0.856,3.8239819413092553
"['sodium benzoate', 'citric acid', 'phenoxyethanol']","['glycerin', 'potassium sorbate']",0.05330975240020212,0.7009966777408638,3.8164303308092697
"['hexylene glycol', 'phenoxyethanol']","['butylene glycol', 'caprylyl glycol']",0.05507832238504295,0.7077922077922078,3.8011418703413273
['hexylene glycol'],"['butylene glycol', 'caprylyl glycol']",0.0684689236988378,0.7002583979328165,3.760682142494013
"['sodium benzoate', 'glycerin', 'citric acid', 'phenoxyethanol']",['potassium sorbate'],0.05330975240020212,0.7535714285714286,3.728294642857143
"['citronellol', 'limonene']",['linalool'],0.07150075795856493,0.8274853801169592,3.696599474608267
"['citronellol', 'glycerin', 'limonene']",['linalool'],0.051793835270338554,0.8266129032258064,3.692701885968106
"['limonene', 'citral']",['linalool'],0.057857503789792826,0.8120567375886525,3.627675583945696
"['parfum', 'limonene']",['linalool'],0.057604850934815564,0.8113879003558719,3.6246877083617846
"['sodium benzoate', 'citric acid', 'phenoxyethanol']",['potassium sorbate'],0.05507832238504295,0.7242524916943521,3.5832392026578073
"['sodium benzoate', 'glycerin', 'citric acid']",['potassium sorbate'],0.07352198079838303,0.7220843672456576,3.572512406947891
"['geraniol', 'linalool']",['limonene'],0.07832238504295098,0.8072916666666666,3.558196455085375
['geraniol'],['linalool'],0.09701869631126832,0.7950310559006212,3.551617290355145
"['glycerin', 'geraniol', 'linalool']",['limonene'],0.05381505811015665,0.8037735849056604,3.5426902550741692
"['tocopherol', 'limonene']",['linalool'],0.06771096513390601,0.7905604719764011,3.5316459910638778
"['citronellol', 'glycerin', 'geraniol']",['linalool'],0.050530570995452245,0.7905138339920947,3.5314376466599446
"['glycerin', 'geraniol']",['linalool'],0.06695300656897422,0.7863501483679525,3.5128373445150745
"['citronellol', 'geraniol', 'linalool']",['limonene'],0.05406771096513391,0.7955390334572492,3.506395873523154
['citral'],['linalool'],0.061647296614451744,0.7795527156549521,3.4824713866391654
"['butylene glycol', 'hexylene glycol']","['caprylyl glycol', 'phenoxyethanol']",0.05507832238504295,0.7465753424657533,3.4682455463373842
"['glycerin', 'hexylene glycol']","['caprylyl glycol', 'phenoxyethanol']",0.057857503789792826,0.7435064935064936,3.45398908603134
"['citronellol', 'geraniol']",['linalool'],0.06796361798888327,0.7707736389684813,3.4432528928185655
"['tocopheryl acetate', 'limonene']",['linalool'],0.05381505811015665,0.7689530685920578,3.4351199158999606
"['butylene glycol', 'limonene', 'phenoxyethanol']",['linalool'],0.05381505811015665,0.7689530685920578,3.4351199158999606
"['parfum', 'linalool']",['limonene'],0.057604850934815564,0.7781569965870306,3.4297832878524135
"['citronellol', 'phenoxyethanol']",['linalool'],0.054825669530065686,0.7667844522968197,3.4254321243688626
"['limonene', 'disodium edta']",['linalool'],0.057857503789792826,0.7633333333333334,3.4100150489089547
"['trehalose', 'phenoxyethanol']","['butylene glycol', 'sodium hyaluronate']",0.051793835270338554,0.7677902621722846,3.403039034353754
"['tocopherol', 'linalool']",['limonene'],0.06771096513390601,0.7657142857142857,3.3749411390391346
"['glycerin', 'trehalose']","['butylene glycol', 'sodium hyaluronate']",0.0606366851945427,0.7570977917981072,3.355647323557568
"['butylene glycol', 'hexylene glycol', 'sodium hyaluronate']",['caprylyl glycol'],0.05103587670540677,0.9573459715639809,3.353252526947112
"['hexylene glycol', 'sodium hyaluronate']",['caprylyl glycol'],0.056088933804951994,0.9568965517241379,3.351678364357644
['hexylene glycol'],"['caprylyl glycol', 'phenoxyethanol']",0.07049014653865589,0.7209302325581395,3.3491101648651598
"['citronellol', 'linalool']",['limonene'],0.07150075795856493,0.7587131367292226,3.3440830681227873
"['limonene', 'phenoxyethanol']",['linalool'],0.09676604345629106,0.746588693957115,3.335212246819708
"['butylene glycol', 'limonene']",['linalool'],0.07150075795856493,0.7427821522309711,3.3182074024042705
"['limonene', 'sodium hyaluronate']",['linalool'],0.05103587670540677,0.7426470588235294,3.317603903864029
"['butylene glycol', 'glycerin', 'limonene']",['linalool'],0.05987872662961091,0.7383177570093458,3.2982637497099216
"['butylene glycol', 'hexylene glycol', 'phenoxyethanol']",['caprylyl glycol'],0.05507832238504295,0.9356223175965664,3.277162064643549
['trehalose'],"['butylene glycol', 'sodium hyaluronate']",0.06720565942395149,0.7388888888888888,3.2749408983451533
"['glycerin', 'limonene', 'phenoxyethanol']",['linalool'],0.08185952501263265,0.7330316742081449,3.2746493978734055
"['citronellol', 'glycerin', 'linalool']",['limonene'],0.051793835270338554,0.7427536231884058,3.2737403569929957
['linalool'],['limonene'],0.1662455785750379,0.7426636568848759,3.2733438239981503
['limonene'],['linalool'],0.1662455785750379,0.7327394209354121,3.2733438239981503
"['linalool', 'sodium hyaluronate']",['limonene'],0.05103587670540677,0.7426470588235294,3.2732706668413467
"['butylene glycol', 'hexylene glycol']","['caprylyl glycol', 'glycerin']",0.0573521980798383,0.7773972602739726,3.266388913125673
['citronellol'],['linalool'],0.09423951490651844,0.7299412915851272,3.260843828548458
"['butylene glycol', 'glycerin', 'linalool']",['limonene'],0.05987872662961091,0.7383177570093458,3.254188955727161
"['butylene glycol', 'hexylene glycol']",['caprylyl glycol'],0.0684689236988378,0.9280821917808219,3.2507516062553035
"['citronellol', 'glycerin']",['linalool'],0.0697321879737241,0.7263157894736842,3.2446477367232984
['geraniol'],['limonene'],0.08969176351692774,0.7349896480331263,3.239520074515717
"['tocopheryl acetate', 'linalool']",['limonene'],0.05381505811015665,0.7344827586206897,3.237285922740189
"['butylene glycol', 'hexylene glycol', 'glycerin']",['caprylyl glycol'],0.0573521980798383,0.9227642276422764,3.232124613281531
"['glycerin', 'linalool']",['limonene'],0.11874684183931278,0.733229329173167,3.231761341723157
"['glycerin', 'linalool', 'phenoxyethanol']",['limonene'],0.08185952501263265,0.7313769751693003,3.2235969573720387
"['butylene glycol', 'linalool', 'phenoxyethanol']",['limonene'],0.05381505811015665,0.7294520547945205,3.2151127314885435
"['citric acid', 'limonene']",['linalool'],0.05836280949974735,0.719626168224299,3.2147634016159996
"['butylene glycol', 'linalool']",['limonene'],0.07150075795856493,0.7275064267352185,3.206537234986631
"['glycerin', 'geraniol']",['limonene'],0.061899949469429005,0.7270029673590505,3.2043182013442335
"['glycerin', 'limonene']",['linalool'],0.11874684183931278,0.7121212121212122,3.181236746699501
"['disodium edta', 'caffeine']","['butylene glycol', 'sodium hyaluronate']",0.050530570995452245,0.7168458781362007,3.177240745423384
"['butylene glycol', 'sodium citrate']","['glycerin', 'citric acid']",0.050530570995452245,0.7575757575757576,3.1729998396665064
"['hexylene glycol', 'phenoxyethanol']",['caprylyl glycol'],0.07049014653865589,0.9058441558441559,3.1728594414435127
"['glycerin', 'hexylene glycol', 'phenoxyethanol']",['caprylyl glycol'],0.057857503789792826,0.9051383399209486,3.1703872118647034
"['citronellol', 'geraniol']",['limonene'],0.06316321374431531,0.7163323782234957,3.157286807359238
"['linalool', 'phenoxyethanol']",['limonene'],0.09676604345629106,0.7145522388059702,3.149440714024532
"['hexylene glycol', 'phenoxyethanol']","['caprylyl glycol', 'glycerin']",0.057857503789792826,0.7435064935064936,3.123990128767199
"['glycerin', 'hexylene glycol']",['caprylyl glycol'],0.06922688226376958,0.8896103896103896,3.115998161130905
"['citric acid', 'linalool']",['limonene'],0.05836280949974735,0.7064220183486238,3.1136061788684333
"['linalool', 'disodium edta']",['limonene'],0.057857503789792826,0.7003058103975535,3.086648549614161
['hexylene glycol'],['caprylyl glycol'],0.08590197069226882,0.8785529715762274,3.077267842034255
"['caprylyl glycol', 'glycerin', 'butylene glycol', 'tocopheryl acetate']","['sodium hyaluronate', 'phenoxyethanol']",0.05154118241536129,0.7058823529411764,3.0368286445012784
